time,tavg,tmin,tmax,y,day
1995-03-20,6.9,4.9,8.5,1994,171.0
1995-03-21,5.1,1.9,8.8,1994,172.0
1995-03-22,3.1,0.6,5.3,1994,173.0
1995-03-23,2.5,-1.0,6.2,1994,174.0
1995-03-24,3.7,-0.8,8.7,1994,175.0
1995-03-25,5.6,0.8,12.0,1994,176.0
1995-03-26,6.4,2.4,8.5,1994,177.0
1995-03-27,5.0,1.1,9.4,1994,178.0
1995-03-28,5.3,1.4,10.0,1994,179.0
1995-03-29,2.3,-0.4,5.9,1994,180.0
1995-03-30,4.1,-0.7,9.0,1994,181.0
1995-03-31,5.5,1.6,9.0,1994,182.0
1995-10-01,9.3,4.5,15.0,1995,1.0
1995-10-02,8.2,4.5,14.5,1995,2.0
1995-10-03,9.3,4.4,14.0,1995,3.0
1995-10-04,9.4,4.5,14.6,1995,4.0
1995-10-05,10.5,6.4,15.6,1995,5.0
1995-10-06,10.7,6.4,15.3,1995,6.0
1995-10-07,11.6,6.5,17.9,1995,7.0
1995-10-08,12.6,7.5,19.1,1995,8.0
1995-10-09,12.6,9.7,16.6,1995,9.0
1995-10-10,13.7,11.0,15.9,1995,10.0
1995-10-11,15.9,8.9,22.5,1995,11.0
1995-10-12,16.2,12.0,22.7,1995,12.0
1995-10-13,17.2,9.9,23.9,1995,13.0
1995-10-14,14.4,,16.8,1995,14.0
1995-10-15,10.2,7.5,13.9,1995,15.0
1995-10-16,7.3,3.6,12.5,1995,16.0
1995-10-17,7.6,2.3,13.0,1995,17.0
1995-10-18,9.2,2.3,14.5,1995,18.0
1995-10-19,12.7,9.8,15.0,1995,19.0
1995-10-20,12.7,11.5,16.0,1995,20.0
1995-10-21,10.1,,,1995,21.0
1995-10-22,5.6,4.0,7.9,1995,22.0
1995-10-23,5.6,1.6,9.9,1995,23.0
1995-10-24,5.9,2.4,11.9,1995,24.0
1995-10-25,7.4,1.2,15.0,1995,25.0
1995-10-26,7.9,3.0,13.7,1995,26.0
1995-10-27,8.1,3.1,15.0,1995,27.0
1995-10-28,7.3,3.6,12.4,1995,28.0
1995-10-29,9.3,,,1995,29.0
1995-10-30,7.2,,,1995,30.0
1995-10-31,5.6,4.6,7.3,1995,31.0
1995-11-01,5.5,4.1,7.7,1995,32.0
1995-11-02,8.2,6.1,,1995,33.0
1995-11-03,3.1,,,1995,34.0
1995-11-04,0.9,-0.3,3.6,1995,35.0
1995-11-05,0.9,,2.4,1995,36.0
1995-11-06,-1.0,-1.7,,1995,37.0
1995-11-07,-0.0,-1.1,,1995,38.0
1995-11-08,-0.4,,1.6,1995,39.0
1995-11-09,-0.6,-1.9,0.3,1995,40.0
1995-11-10,-1.6,,1.3,1995,41.0
1995-11-11,-1.2,,4.1,1995,42.0
1995-11-12,1.4,,3.8,1995,43.0
1995-11-13,-0.2,-3.6,2.6,1995,44.0
1995-11-14,1.6,,3.7,1995,45.0
1995-11-15,-0.0,-3.9,2.5,1995,46.0
1995-11-16,2.2,-0.5,6.4,1995,47.0
1995-11-17,6.4,3.1,9.7,1995,48.0
1995-11-18,4.7,,,1995,49.0
1995-11-19,0.3,,1.9,1995,50.0
1995-11-20,1.2,-2.0,5.2,1995,51.0
1995-11-21,0.3,,,1995,52.0
1995-11-22,-3.2,-4.6,-0.7,1995,53.0
1995-11-23,-4.9,-6.6,-2.7,1995,54.0
1995-11-24,-5.6,,-3.5,1995,55.0
1995-11-25,-0.9,-7.6,,1995,56.0
1995-11-26,2.9,,8.7,1995,57.0
1995-11-27,-0.2,-3.3,3.6,1995,58.0
1995-11-28,2.6,-1.2,6.2,1995,59.0
1995-11-29,0.3,,,1995,60.0
1995-11-30,-2.3,,-0.3,1995,61.0
1995-12-01,-2.4,-3.0,-1.7,1995,62.0
1995-12-02,-1.3,-3.3,-0.0,1995,63.0
1995-12-03,-1.0,,-0.2,1995,64.0
1995-12-04,-4.3,,,1995,65.0
1995-12-05,-7.3,,-6.1,1995,66.0
1995-12-06,-7.4,-9.7,-6.0,1995,67.0
1995-12-07,-6.8,-8.3,,1995,68.0
1995-12-08,-3.2,-6.0,-1.5,1995,69.0
1995-12-09,-2.1,-3.7,-1.0,1995,70.0
1995-12-10,-4.1,,,1995,71.0
1995-12-11,-3.5,-5.0,-2.9,1995,72.0
1995-12-12,-3.6,-5.2,,1995,73.0
1995-12-13,-1.3,-2.3,-0.7,1995,74.0
1995-12-14,-1.6,-2.0,-1.0,1995,75.0
1995-12-15,-4.7,-6.2,-3.3,1995,76.0
1995-12-16,-4.7,,,1995,77.0
1995-12-17,-5.7,-8.6,-2.1,1995,78.0
1995-12-18,-3.9,-8.3,,1995,79.0
1995-12-19,0.6,-1.5,,1995,80.0
1995-12-20,-0.4,,0.9,1995,81.0
1995-12-21,-4.2,,,1995,82.0
1995-12-22,-7.7,-9.7,-3.9,1995,83.0
1995-12-23,-0.7,-10.3,4.4,1995,84.0
1995-12-24,6.9,3.2,10.7,1995,85.0
1995-12-25,-4.7,,,1995,86.0
1995-12-26,-4.8,-8.6,,1995,87.0
1995-12-27,-5.8,,,1995,88.0
1995-12-28,-8.4,-9.6,-7.6,1995,89.0
1995-12-29,-11.3,-14.2,,1995,90.0
1995-12-30,-13.9,-16.0,-12.6,1995,91.0
1995-12-31,-14.6,,-10.6,1995,92.0
1996-01-01,-12.6,-17.1,-9.1,1995,93.0
1996-01-02,-8.0,-10.8,-6.6,1995,94.0
1996-01-03,-5.7,-7.9,-2.3,1995,95.0
1996-01-04,-2.7,-4.3,-0.4,1995,96.0
1996-01-05,-4.0,-5.2,-2.6,1995,97.0
1996-01-06,-9.8,-12.6,-5.1,1995,98.0
1996-01-07,-10.7,-14.3,-5.7,1995,99.0
1996-01-08,-11.3,-14.1,-7.6,1995,100.0
1996-01-09,-14.0,-17.8,-9.6,1995,101.0
1996-01-10,-12.2,-15.8,-7.9,1995,102.0
1996-01-11,-8.8,-13.1,-4.4,1995,103.0
1996-01-12,-3.4,-5.6,-1.6,1995,104.0
1996-01-13,-5.8,-9.6,-3.6,1995,105.0
1996-01-14,-10.9,-14.6,-7.4,1995,106.0
1996-01-15,-11.1,-14.6,-7.6,1995,107.0
1996-01-16,-7.9,-12.1,-3.1,1995,108.0
1996-01-17,-8.2,-12.6,-3.8,1995,109.0
1996-01-18,-9.6,-11.9,-6.1,1995,110.0
1996-01-19,-8.9,-12.4,-5.4,1995,111.0
1996-01-20,-7.1,-9.1,-5.3,1995,112.0
1996-01-21,-5.9,-6.9,-4.8,1995,113.0
1996-01-22,-6.2,-7.0,-5.3,1995,114.0
1996-01-23,-9.6,-13.6,-6.6,1995,115.0
1996-01-24,-13.9,-17.2,-9.6,1995,116.0
1996-01-25,-13.7,-17.2,-9.8,1995,117.0
1996-01-26,-10.3,-13.8,-8.1,1995,118.0
1996-01-27,-7.4,-9.0,-6.0,1995,119.0
1996-01-28,-7.7,-8.9,-6.1,1995,120.0
1996-01-29,-9.4,-11.4,-6.6,1995,121.0
1996-01-30,-8.5,-9.7,-7.1,1995,122.0
1996-01-31,-6.4,-9.0,-3.2,1995,123.0
1996-02-01,-7.8,-12.5,-3.5,1995,124.0
1996-02-02,-10.0,-14.3,-6.8,1995,125.0
1996-02-03,-10.5,-15.9,-6.7,1995,126.0
1996-02-04,-4.0,-7.0,-1.5,1995,127.0
1996-02-05,-6.5,-8.2,-4.1,1995,128.0
1996-02-06,-10.5,-13.8,-5.6,1995,129.0
1996-02-07,-14.1,-17.5,-11.4,1995,130.0
1996-02-08,-14.4,-18.3,-11.2,1995,131.0
1996-02-09,-11.9,-15.4,-8.4,1995,132.0
1996-02-10,-14.9,-18.7,-10.8,1995,133.0
1996-02-11,-16.1,-21.8,-10.9,1995,134.0
1996-02-12,-13.0,-15.3,-10.3,1995,135.0
1996-02-13,-10.9,-12.7,-8.6,1995,136.0
1996-02-14,-8.2,-10.9,-5.3,1995,137.0
1996-02-15,-6.6,-8.5,-4.7,1995,138.0
1996-02-16,-4.2,-7.0,-1.1,1995,139.0
1996-02-17,1.0,-1.5,4.4,1995,140.0
1996-02-18,1.3,-0.7,3.9,1995,141.0
1996-02-19,-2.5,-9.2,2.6,1995,142.0
1996-02-20,0.7,-1.0,2.4,1995,143.0
1996-02-21,3.0,1.8,3.7,1995,144.0
1996-02-22,2.0,-0.8,3.4,1995,145.0
1996-02-23,-0.8,-2.2,0.8,1995,146.0
1996-02-24,1.0,-1.1,2.6,1995,147.0
1996-02-25,-1.2,-4.4,1.4,1995,148.0
1996-02-26,-2.2,-5.9,2.4,1995,149.0
1996-02-27,-6.1,-10.6,-0.8,1995,150.0
1996-02-28,-5.8,-10.8,-0.6,1995,151.0
1996-02-29,-5.1,-10.6,0.1,1995,152.0
1996-03-01,-4.0,-6.0,-1.8,1995,153.0
1996-03-02,-3.7,-5.9,-1.1,1995,154.0
1996-03-03,-3.0,-5.1,-0.5,1995,155.0
1996-03-04,-4.8,-6.3,-1.5,1995,156.0
1996-03-05,-5.9,-9.1,-3.3,1995,157.0
1996-03-06,-2.9,-6.9,0.4,1995,158.0
1996-03-07,-3.6,-6.8,-1.3,1995,159.0
1996-03-08,-5.3,-9.6,-1.1,1995,160.0
1996-03-09,-4.3,-8.4,-0.3,1995,161.0
1996-03-10,-3.2,-5.1,-1.6,1995,162.0
1996-03-11,-5.1,-7.0,-3.2,1995,163.0
1996-03-12,-3.7,-5.5,-2.1,1995,164.0
1996-03-13,-4.3,-7.1,-2.1,1995,165.0
1996-03-14,-2.9,-4.4,-1.1,1995,166.0
1996-03-15,-1.0,-2.9,0.4,1995,167.0
1996-03-16,-1.0,-3.1,1.9,1995,168.0
1996-03-17,-2.7,-8.4,2.1,1995,169.0
1996-03-18,-2.5,-6.4,0.9,1995,170.0
1996-03-19,-2.5,-5.8,0.3,1995,171.0
1996-03-20,-1.4,-4.2,1.1,1995,172.0
1996-03-21,-0.3,-3.2,3.9,1995,173.0
1996-03-22,-0.5,-5.4,3.5,1995,174.0
1996-03-23,-0.5,-6.0,4.1,1995,175.0
1996-03-24,-0.2,-5.8,4.7,1995,176.0
1996-03-25,0.4,-2.9,4.4,1995,177.0
1996-03-26,-0.2,-4.0,3.5,1995,178.0
1996-03-27,-0.9,-7.6,4.4,1995,179.0
1996-03-28,2.6,1.3,3.9,1995,180.0
